,Fecha,Rango_edad,Casos,Hospitalizados,Ingresos_uci,Fallecidos,Casos nuevos14,Casos nuevos7,Casos nuevos,Población,IA 7 días,IA 14 días
178,2020-03-19,70 a 79,21,18,1,0,21.0,21.0,7,53066,39.57336147439038,39.57336147439038
179,2020-03-19,Mayor de 80,18,12,0,1,18.0,17.0,8,41042,41.42098338287608,43.85751181716291
180,2020-03-20,0 a 9,1,0,0,0,1.0,1.0,0,46913,2.1316053119604375,2.1316053119604375
181,2020-03-20,10 a 19,4,2,0,0,3.0,2.0,0,55828,3.5824317546750737,5.37364763201261
182,2020-03-20,20 a 29,17,5,0,0,14.0,12.0,6,50505,23.76002376002376,27.72002772002772
183,2020-03-20,30 a 39,29,6,0,0,26.0,23.0,8,70473,32.636612603408395,36.89356207341819
184,2020-03-20,40 a 49,37,13,2,0,33.0,28.0,9,97769,28.638934631631706,33.75303010156593
185,2020-03-20,50 a 59,38,13,1,0,38.0,35.0,11,89964,38.90445066915655,42.23911786936997
186,2020-03-20,60 a 69,49,29,5,2,49.0,43.0,11,77345,55.59506108992178,63.35251147456202
187,2020-03-20,70 a 79,28,22,1,0,28.0,28.0,7,53066,52.76448196585384,52.76448196585384
188,2020-03-20,Mayor de 80,25,21,0,1,25.0,24.0,7,41042,58.476682422883876,60.913210857170704
189,2020-03-21,0 a 9,1,0,0,0,1.0,1.0,0,46913,2.1316053119604375,2.1316053119604375
190,2020-03-21,10 a 19,4,2,0,0,3.0,2.0,0,55828,3.5824317546750737,5.37364763201261
191,2020-03-21,20 a 29,19,6,0,0,16.0,14.0,2,50505,27.72002772002772,31.68003168003168
192,2020-03-21,30 a 39,37,7,0,0,34.0,25.0,8,70473,35.47457891674826,48.24542732677763
193,2020-03-21,40 a 49,50,17,2,0,45.0,40.0,13,97769,40.91276375947386,46.02685922940809
194,2020-03-21,50 a 59,49,18,1,0,49.0,44.0,11,89964,48.90845226979681,54.46623093681918
195,2020-03-21,60 a 69,63,37,7,2,63.0,51.0,14,77345,65.93832826944211,81.45322903872261
196,2020-03-21,70 a 79,44,30,2,2,44.0,43.0,16,53066,81.03116873327555,82.91561451777032
197,2020-03-21,Mayor de 80,29,23,0,2,29.0,27.0,4,41042,65.78626772574437,70.65932459431801
198,2020-03-22,0 a 9,1,0,0,0,1.0,1.0,0,46913,2.1316053119604375,2.1316053119604375
199,2020-03-22,10 a 19,5,2,0,0,4.0,2.0,1,55828,3.5824317546750737,7.164863509350147
200,2020-03-22,20 a 29,22,9,1,0,19.0,15.0,3,50505,29.7000297000297,37.62003762003762
